Nodo_2 13:14:43.996660 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:43.996660 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.112243 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.112243 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.112742 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.112742 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.228719 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.228719 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.229716 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.229716 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.349179 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.349179 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.349179 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.349179 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.479499 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.479499 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.479499 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.480498 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.594647 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.594647 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.595644 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.595644 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.711611 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.711611 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.712607 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.712607 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.826120 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.826120 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.826120 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.826120 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.943086 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.943086 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:44.943585 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:44.943585 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.062429 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.062429 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.063432 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.063432 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.182911 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.182911 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.183907 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.183907 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.298492 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.298492 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.299492 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.299492 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.414578 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.414578 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.415579 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.415579 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.531042 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.531042 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.532039 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.532039 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.643168 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.643168 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.643670 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.643670 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.762302 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.762302 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.763298 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.763298 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.887382 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.887382 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:45.888358 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:45.888358 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:46.003169 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:46.003169 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:46.004148 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:46.004148 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:46.056022 raft.go:370: Intento someter:  gwrngiwnrhinwrh
Nodo_2 13:14:46.115351 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:46.115351 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:46.115351 raft.go:465: El nodo 0 tiene -1 entradas y vamos por la 0
Nodo_2 13:14:46.116323 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:46.116323 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:46.116323 raft.go:465: El nodo 1 tiene -1 entradas y vamos por la 0
Nodo_2 13:14:46.235065 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.236044 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.236044 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.350190 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.350190 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.350682 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.350682 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.465694 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.465694 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.466689 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.466689 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.587080 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.587080 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.588080 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.588080 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.702783 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.702783 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.703783 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.703783 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.819201 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.819201 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.820184 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.820184 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.933962 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.933962 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:46.934957 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:46.934957 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.050198 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.050198 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.050698 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.050698 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.161675 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.161675 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.161675 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.161675 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.287879 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.287879 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.288874 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.288874 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.404567 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.404567 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.405542 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.405542 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.521030 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.521030 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.522013 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.522013 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.636144 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.636144 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.636144 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.637145 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.751553 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.751553 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.752044 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.752044 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.868134 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.868134 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.869117 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.869117 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.988467 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.988467 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:47.988467 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:47.989447 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.104017 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.104017 raft.go:501: Nodo 1 tiene hasta la entrada 0
Nodo_2 13:14:48.104998 raft.go:501: Nodo 0 tiene hasta la entrada 0
Nodo_2 13:14:48.104998 raft.go:501: Nodo 1 tiene hasta la entrada 0
